business_name,category,address,city,state,phone,maps_url,website_status,confirmed,source_batch,notes,place_geoid
Clark Auto Body & Frame,Auto body shop,"3522 Market St, Hannibal, MO 63401",Hannibal,MO,(573) 221-5505,https://www.google.com/maps/search/?api=1&query=Clark+Auto+Body+%26+Frame+3522+Market+St+Hannibal+MO,no_website,likely,sample8,"Independent collision/frame shop. MapQuest listing has phone and address but no Website button (unlike nearby Hannibal shops that do). Multiple directories (Yellow Pages Directory, missouri.repair-auto.org) list website as unknown/absent. Web search found no official .com/.net. Google Maps search URL constructed from name+address; GBP website field could not be opened directly (Maps is JS-only without API).",2930214
Miller Plumbing,Plumber,"10076 Old 79, Hannibal, MO 63401",Hannibal,MO,(573) 221-6913,https://www.google.com/maps/place/?q=place_id:ChIJe9r33snn3YcRg2sd4cVEWvI,no_website,yes,sample8,Strongest Hannibal confirmation: Google Place ID ChIJe9r33snn3YcRg2sd4cVEWvI (OpenGovNY Google Places dump). Birdeye aggregates 7 Google reviews and no other site. Yellow Pages lists it with phone/address. Web search found no official company site (other Miller Plumbing .coms are different cities). Some 2026 Yelp snippets say closed; included because GBP/Place ID still exists. Could not click the Maps website button without API.,2930214
Auto Beauty Shop (listed on review aggregators as The Beauty Shop),Auto body shop,"2001 AL Highway 14 E, Selma, AL 36703",Selma,AL,(334) 872-2248,https://www.google.com/maps/search/?api=1&query=Auto+Beauty+Shop+2001+Al+Highway+14+E+Selma+AL,no_website,yes,sample8,Birdeye profile shows 25 Google reviews (plus Facebook/Insider Pages) and no company website. MapQuest listing has Call but no Website button. Yellow Pages listing exists. Web search found no official .com/.net. Name on Google/Birdeye sometimes appears as The Beauty Shop; same address/category.,0169120
Bolden's Paint & Body (also listed as Bolden's Auto Services),Auto body shop,"600 Roosevelt St, Selma, AL 36701",Selma,AL,(334) 875-3326,https://www.google.com/maps/search/?api=1&query=Bolden%27s+Paint+%26+Body+600+Roosevelt+St+Selma+AL,facebook_only,yes,sample8,MapQuest listing has phone/address and no Website button. Loc8NearMe/LocalityBiz show Google-style hours and customer reviews. Yellow Pages listing. Web search found no official company website. Facebook-only presence would still count as no company website.,0169120
Frank Milhouse Auto Repair,Auto repair,"218 Cahaba Rd, Selma, AL 36701",Selma,AL,(334) 419-4155,https://www.google.com/maps/search/?api=1&query=Frank+Milhouse+Auto+Repair+218+Cahaba+Rd+Selma+AL,no_website,likely,sample8,"MapQuest listing (Infogroup/Foursquare) has address and no Website button. Yellow Pages and automobile101 directory listings with no site. Web search found no official .com/.net. Independent, not a chain.",0169120
Johnson Paint & Body Shop,Auto body shop,"1814 Selma Ave, Selma, AL 36703",Selma,AL,(334) 872-6332,https://www.google.com/maps/search/?api=1&query=Johnson+Paint+%26+Body+Shop+1814+Selma+Ave+Selma+AL,no_website,likely,sample8,Loc8NearMe listing (Google-sourced hours/reviews/photos pattern) has no website field. Yellow Pages listing. Web search found no official company site. Recent 2024-2025 reviews indicate it is still operating.,0169120
Turner Body Frame & Paint Work,Auto body shop,"1800 AL Highway 14 E, Selma, AL 36703",Selma,AL,(334) 872-6201,https://www.google.com/maps/search/?api=1&query=Turner+Body+Frame+%26+Paint+Work+1800+Al+Highway+14+E+Selma+AL,no_website,likely,sample8,Yellow Pages listing notably had no Website button while neighboring Selma shops did. Directories list phone/address only. Web search found no official website. Maps listing inferred from name+address search URL and YP/Maps-adjacent directories; GBP panel not opened.,0169120
Jerry's Automotive Service,Auto repair,"1248 Marine Dr, Astoria, OR 97103",Astoria,OR,(503) 325-9166,https://www.google.com/maps/search/?api=1&query=Jerry%27s+Automotive+Service+1248+Marine+Dr+Astoria+OR,no_website,yes,sample8,"Yelp business page exists (jerrys-automotive-service-astoria) with map pin at 1248 Marine Dr; snippet showed phone/address/hours and no website link (contrast with Hannibal shops whose Yelp pages do show a site). Yellow Pages and Hubbiz listings have no official URL. Web search found no Astoria company .com (jerrysservicecenterne.com is Norfolk, NE). Independent shop.",4103150
"Neal Baeten Autobody, Inc.",Auto body shop,"92094 Youngs River Rd, Astoria, OR 97103",Astoria,OR,(503) 325-4172,https://www.google.com/maps/search/?api=1&query=Neal+Baeten+Autobody+92094+Youngs+River+Rd+Astoria+OR,no_website,likely,sample8,"Listed on Astoria/Old Oregon chamber directory with hours and services, no company website. Yellow Pages listing. Web search found no official .com/.net. Collision shop, locally owned since ~1994. Maps URL is name+address search.",4103150
Bob's Auto Repair,Auto repair,"135 Old Norway Dr, Bar Harbor, ME 04609",Bar Harbor,ME,(207) 288-9344,https://www.google.com/maps/search/?api=1&query=Bob%27s+Auto+Repair+135+Old+Norway+Dr+Bar+Harbor+ME,no_website,likely,sample8,"Yellow Pages listing with street address. Job board and business directories list owner Robert Davis Jr and a second shop at 32A Holland Ave; no company website in any result (web site unknown on maine.auto-us.org for related downtown listing). Not to be confused with Bar Harbor Auto Stop, which is linked to barharborinfo.com (chamber/directory, not a shop site). Independent.",2302830
Bar Harbor Barbershop,Barber shop,"286 Main St, Bar Harbor, ME 04609",Bar Harbor,ME,(207) 702-5038,https://www.google.com/maps/search/?api=1&query=Bar+Harbor+Barbershop+286+Main+St+Bar+Harbor+ME,no_website,likely,sample8,"Appears in Maps-adjacent landing pages (edan.io generated profile with 8 reviews and lat/lng). No first-party .com/.net found; edan.io is a third-party generated page, not a company website. Facebook/Yelp would also not count as a company site. Independent Main Street barber, not a chain.",2302830
Bernal's Body Shop,Auto body shop,"104 S Sixth St, Gallup, NM 87301",Gallup,NM,(505) 863-5671,https://www.google.com/maps/search/?api=1&query=Bernal%27s+Body+Shop+104+S+Sixth+St+Gallup+NM,no_website,likely,sample8,"Third-party profile explicitly states 'No Website Listed / No Social Accounts Added'. Yellow Pages and AllPages listings with phone/address only. Established ~1982, independent. Web search found no official site. Alternate phone 505-879-7998 appears on one directory.",3528460
Dearmond Body Shop,Auto body shop,"710 S Second St, Gallup, NM 87301",Gallup,NM,(505) 863-6049,https://www.google.com/maps/search/?api=1&query=Dearmond+Body+Shop+710+S+Second+St+Gallup+NM,no_website,likely,sample8,"Yellow Pages, AllPages, DirectoryPlus, and automobile101 listings; none publish a company website. Web search found no official .com/.net. Independent body/truck repair shop. Maps URL is name+address search.",3528460
Richards Auto Shop,Auto repair,"801 W Wilson Ave, Gallup, NM 87301",Gallup,NM,(505) 722-6547,https://www.google.com/maps/search/?api=1&query=Richards+Auto+Shop+801+W+Wilson+Ave+Gallup+NM,no_website,yes,sample8,"Loc8NearMe page has Google-style hours (Mon-Fri 8am-6pm, Sat 8am-12pm) and 2024-2025 customer reviews, no website. Yellow Pages listing. Web search found no official company site. Independent family shop (reviewers mention staff by first name).",3528460
Alvey's Automotive,Auto repair,"2344 New Holt Rd, Paducah, KY 42001",Paducah,KY,(270) 554-7434,https://www.google.com/maps/search/?api=1&query=Alvey%27s+Automotive+2344+New+Holt+Rd+Paducah+KY,no_website,likely,sample8,MapQuest and LocalityBiz listings with address/phone and no Website button. Listed on Openbay/Wheree as a local shop. Web search found no official company website. Independent (reviews name owner Morris). Not a chain.,2158836
Leneave's Automotive Repair,Auto repair,"1023 S 21st St, Paducah, KY 42003",Paducah,KY,(270) 444-7925,https://www.google.com/maps/search/?api=1&query=Leneave%27s+Automotive+Repair+1023+S+21st+St+Paducah+KY,no_website,likely,sample8,"Yellow Pages listing with a Yelp-style review. kentucky.repair-auto.org lists web site: unknown, owner Don Leneave. Web search found no official .com/.net. Independent. Maps GBP website field not opened directly.",2158836
Randles Auto Repair,Auto repair,"3129 Broadway St, Paducah, KY 42001",Paducah,KY,(270) 442-2774,https://www.google.com/maps/search/?api=1&query=Randles+Auto+Repair+3129+Broadway+St+Paducah+KY,no_website,likely,sample8,"Yellow Pages listing. Directory dump lists manager Floyd Randles and web site: unknown. Web search found no official company site. Independent, not a chain. Maps confirmation is name+address search URL plus YP presence.",2158836
EQ Muffler (also listed as E Q Muffler / Muffler E Q),Muffler / exhaust / auto repair,"250 W Hampton St, Marquette, MI 49855",Marquette,MI,(906) 226-2131,https://www.google.com/maps/search/?api=1&query=EQ+Muffler+250+W+Hampton+St+Marquette+MI,no_website,likely,sample8,"MapQuest place page shows hours and Call/Share but no Website button. Yellow Pages (Muffler E Q, 86 years in business) and Hubbiz/411.info listings have no company URL. One aggregator cites ~3.8 stars / 10 Yelp reviews. Established ~1940, independent. Web search found no official site.",2651900
Soapy & Sons,Auto body shop,"1210 S Front St, Marquette, MI 49855",Marquette,MI,(906) 228-7680,https://www.google.com/maps/search/?api=1&query=Soapy+%26+Sons+1210+S+Front+St+Marquette+MI,no_website,likely,sample8,Yellow Pages listing with customer reviews (custom/collision paint). Hubbiz/AllPages listings have no website. Alternate address 1208 S Front St on one directory (adjacent). Web search found no official .com/.net. Independent.,2651900
Alaska Barber Shop,Barber shop,"305 Eagle Ave, Fairbanks, AK 99701",Fairbanks,AK,(907) 452-2459,https://www.google.com/maps/search/?api=1&query=Alaska+Barber+Shop+305+Eagle+Ave+Fairbanks+AK,facebook_only,yes,sample8,"WhoDoYou local pack shows Google-style hours and a Google Knowledge Graph link (g.co/kgs/...). Deseret News/AP profile of owner Mike Ricci. Search synthesis: listed on Google Maps/Yelp/Apple Maps; Facebook page exists; no dedicated company website. Facebook is not a company website. Independent, not a chain.",0224230
Alaska We Tow & Auto Repair,Towing / auto repair,"3807 Leasure St #B, Fairbanks, AK 99701",Fairbanks,AK,(907) 455-9640,https://www.google.com/maps/search/?api=1&query=Alaska+We+Tow+%26+Auto+Repair+3807+Leasure+St+Fairbanks+AK,no_website,likely,sample8,"Listed in multiple Fairbanks directories with owner Michelle Munro, founded ~1999, 1-4 employees. Directory pages have empty website field. Web search found no official .com/.net. Maps listing inferred from name+address; fewer Google-review aggregators than the barber shop, so GBP presence is less strongly proven than Miller Plumbing / Auto Beauty Shop.",0224230
Pack Horse Liquor Convenience,shop:convenience,95 Sherman Street,Deadwood,SD,+1 605-578-2479,https://www.google.com/maps/search/?api=1&query=Pack%20Horse%20Liquor%20and%20Convenience%2C%2095%20Sherman%20St%2C%20Deadwood%2C%20SD,no_website,yes,batch1,On Waze/local maps and deadwood.com directory. No company domain; chamber page is not a website.,4615700
