business_name,category,address,city,state,phone,maps_url,website_status,source,confirmed,notes,place_geoid
Pack Horse Liquor Convenience,shop:convenience,95 Sherman Street,Deadwood,SD,+1 605-578-2479,https://www.google.com/maps/search/?api=1&query=Pack%20Horse%20Liquor%20and%20Convenience%2C%2095%20Sherman%20St%2C%20Deadwood%2C%20SD,no_website,osm+web,yes,On Waze/local maps and deadwood.com directory. No company domain; chamber page is not a website.,4615700
Chris Cuts It,shop:hairdresser,138 Sherman Street,Deadwood,SD,605-578-1010,https://www.google.com/maps/search/?api=1&query=Chris%20Cuts%20It%2C%20138%20Sherman%20St%2C%20Deadwood%2C%20SD,no_website,osm+web,likely,OSM + us-locations/directory listings at 138 Sherman. No company website in search.,4615700
Scarlet Tavern,amenity:pub,326 Harrison Avenue,Leadville,CO,,https://www.google.com/maps/search/?api=1&query=Scarlet%20Tavern%2C%20326%20Harrison%20Ave%2C%20Leadville%2C%20CO,facebook_only,osm+web,yes,Visit Leadville listing with Google Map pin. Facebook/social only; no dedicated company site.,0844320
Casa Blanca Restaurant,amenity:restaurant,118 E 2nd Street,Leadville,CO,719-486-9969,https://www.google.com/maps/search/?api=1&query=Casa%20Blanca%20Restaurant%2C%20118%20E%202nd%20St%2C%20Leadville%2C%20CO,facebook_only,osm+web,yes,Family-owned since 1975. Tourism listing + Facebook. No independent company website found.,0844320
Sea J's Cafe,amenity:cafe,2501 Washington Street,Port Townsend,WA,360-385-6312,https://www.google.com/maps/search/?api=1&query=Sea%20J%27s%20Cafe%2C%202501%20Washington%20St%2C%20Port%20Townsend%2C%20WA,no_website,osm+web,yes,Seattle Magazine: 'It doesn't even have a website.' Apple Maps + Yelp (~176 reviews). OSM had no website tag.,5355855
Jim's Barber Shop,shop:hairdresser,211 Polk Street,Port Townsend,WA,+1 360-385-2266,https://www.google.com/maps/search/?api=1&query=Jim%27s%20Barber%20Shop%2C%20211%20Polk%20St%2C%20Port%20Townsend%2C%20WA,no_website,osm+web,yes,MapQuest + Nextdoor listing. No company website in search.,5355855
Deanna's Hair Design,shop:hairdresser,213 Polk Street,Port Townsend,WA,360-385-2810,https://www.google.com/maps/search/?api=1&query=Deanna%27s%20Hair%20Design%2C%20Port%20Townsend%2C%20WA,no_website,osm+web,likely,OSM hairdresser; local map/directory hits only. No company website found.,5355855
Big Wave Burritos,amenity:restaurant,605 Lafayette Street,Cape May,NJ,,https://www.google.com/maps/search/?api=1&query=Big%20Wave%20Burritos%2C%20Cape%20May%2C%20NJ,facebook_only,osm+web,likely,OSM candidate. Public presence is Facebook (facebook.com/BigWaveBurritos). No company website found.,3410270
Michael's SALON,shop:hairdresser,2121 Boundary Street #107,Beaufort,SC,843-524-6555,https://www.google.com/maps/search/?api=1&query=Michael%27s%20Salon%2C%202121%20Boundary%20St%2C%20Beaufort%2C%20SC,no_website,osm+web,yes,"Yelp + Fresha booking page (aggregator, not a company site). No owned domain found.",4504690
Isa's African Hair Braiding,shop:hairdresser,2265 Boundary Street #A,Beaufort,SC,843-379-3335,https://www.google.com/maps/search/?api=1&query=Isa%27s%20African%20Hair%20Braiding%2C%202265%20Boundary%20St%2C%20Beaufort%2C%20SC,no_website,osm+web,yes,MapQuest local listing. No company website in search.,4504690
Best Nails,shop:beauty,2127 Boundary Street Ste 9,Beaufort,SC,+1 843-521-4688,https://www.google.com/maps/search/?api=1&query=Best%20Nails%2C%202127%20Boundary%20St%2C%20Beaufort%2C%20SC,no_website,osm+web,yes,"MapQuest/Yelp listing. 'Website' on MapQuest is locality.com directory, not a company site.",4504690
Foxy Nail,shop:beauty,860 Parris Island Gateway #C3,Beaufort,SC,,https://www.google.com/maps/search/?api=1&query=Foxy%20Nail%2C%20860%20Parris%20Island%20Gateway%2C%20Beaufort%2C%20SC,no_website,osm+web,likely,MapQuest listing. Unrelated foxynails.net is Kansas City. No Beaufort company site found.,4504690
The Donut Shop,amenity:cafe,501 John R. Junkin Drive,Natchez,MS,601-442-2317,https://www.google.com/maps/search/?api=1&query=The%20Donut%20Shop%2C%20501%20John%20R%20Junkin%20Dr%2C%20Natchez%2C%20MS,no_website,osm+web,yes,Visit Natchez + MS health-dept record. No company website; tourism page is not a site.,2850440
Abyss Tattoo,shop:tattoo,12 1/2 South Main Street,Eureka Springs,AR,+1 479-253-5520,https://www.google.com/maps/search/?api=1&query=Abyss%20Tattoo%2C%2012%20S%20Main%20St%2C%20Eureka%20Springs%2C%20AR,no_website,osm+web,yes,MapQuest/Yelp listing. MapQuest 'website' is tattooparlorreviews.com directory.,0522240
Missy's White Rabbit Lounge,amenity:bar,19 1/2 Spring Street,Eureka Springs,AR,479-265-7100,https://www.google.com/maps/search/?api=1&query=Missy%27s%20White%20Rabbit%20Lounge%2C%2019%201/2%20Spring%20St%2C%20Eureka%20Springs%2C%20AR,facebook_only,osm+web,yes,MapQuest lists facebook.com/missyswhiterabbit as the only site. No company domain.,0522240
B-Side Cafe,amenity:cafe,121 Spring Street,Eureka Springs,AR,+1 573-777-2088,https://www.google.com/maps/search/?api=1&query=B-Side%20Cafe%2C%20121%20Spring%20St%2C%20Eureka%20Springs%2C%20AR,no_website,osm+web,yes,Visit Eureka Springs listing has an empty Website field. Counter cafe inside MoJo's Records.,0522240
Eureka Daily Roast,amenity:cafe,27 Spring Street,Eureka Springs,AR,+1 479-253-2229,https://www.google.com/maps/search/?api=1&query=Eureka%20Daily%20Roast%2C%2027%20Spring%20St%2C%20Eureka%20Springs%2C%20AR,no_website,osm+web,likely,Long-running local roastery. Travel blogs/Facebook; no owned company domain found.,0522240
Doc's Automotive,shop:car_repair,523 Paseo Del Pueblo Sur,Taos,NM,,https://www.google.com/maps/search/?api=1&query=Doc%27s%20Automotive%2C%20Taos%2C%20NM,no_website,osm+web,yes,MapQuest local listing (hours Mon-Fri 9-5). No company website in search.,3576200
Ed Newberg Service,shop:car_repair,688 Indian River Road,Sitka,AK,,https://www.google.com/maps/search/?api=1&query=Ed%20Newberg%20Service%2C%20688%20Indian%20River%20Rd%2C%20Sitka%2C%20AK,no_website,web,likely,OSM around Sitka centroid missed downtown. MapQuest listing; no company website found.,0270540
